,Valence,Dominance,Arousal,Frequency,Effect_Size,P_Value
twine,0.521,0.38,0.337,2.93,0.4738086821099413,0.1663859336394539
twinge,0.316,0.72,0.471,2.53,0.5689157293906375,0.123110910754961
twinkle,0.719,0.724,0.61,3.17,0.3895342701728492,0.2169741763533419
twins,0.76,0.473,0.602,4.15,0.7950747889550821,0.0540697684823678
twirl,0.552,0.647,0.409,2.69,0.9683693228593022,0.0253982955134712
twist,0.375,0.469,0.337,4.22,0.3382876749292752,0.2475099947860761
twisted,0.071,0.736,0.311,3.98,0.1142061904587327,0.4077332290463048
twister,0.33,0.68,0.647,3.05,0.2150968883160435,0.3336320306464722
twit,0.194,0.653,0.198,2.74,-0.2735790434092724,0.7106065572799616
twitch,0.51,0.74,0.548,3.76,-0.1126892918142635,0.5866128137817798
twitching,0.292,0.7,0.482,2.99,0.2657716254616338,0.2904280587966515
twitchy,0.094,0.918,0.281,2.57,-0.333743727009546,0.7544237320935163
two,0.52,0.2,0.404,6.1,-0.0650696508816248,0.5504436625558777
twofold,0.573,0.333,0.551,2.84,-0.0493080553269151,0.5383449187652906
twosome,0.583,0.544,0.5,2.19,1.149317768563349,0.0112309282205265
tycoon,0.682,0.596,0.867,3.16,-0.5865164447997891,0.8798472270261868
tyke,0.5,0.388,0.3,2.15,-0.2374568198467747,0.6869769436977097
type,0.5,0.284,0.364,5.27,0.1037922613995768,0.4218126784781233
typewriter,0.542,0.373,0.418,3.26,0.0636031730069613,0.4530084114501898
typhoid,0.265,0.458,0.401,2.94,0.1335533319324181,0.3964495458167485
typhoon,0.323,0.796,0.697,3.59,0.3065167043657372,0.2719009065899395
typical,0.635,0.206,0.426,4.59,-0.091961324726055,0.5743165081752262
typically,0.569,0.377,0.559,4.62,0.0282437860614938,0.4763231976587502
typist,0.551,0.559,0.528,2.63,1.397349874399792,0.0025798460001009
typo,0.224,0.415,0.255,3.3,-0.3144584486133384,0.7387066152401219
typography,0.48,0.334,0.574,3.01,0.084943376584908,0.4419620912633119
tyrannical,0.167,0.86,0.731,2.97,-0.7650296651208803,0.9371185601416904
tyranny,0.112,0.792,0.705,3.52,-1.0494191274701752,0.9800832954939196
tyrant,0.115,0.85,0.683,3.36,-1.389025177382187,0.9971951623601412
tyre,0.48,0.358,0.407,3.51,-1.1010644952071724,0.9855337442251014
ubiquitous,0.635,0.571,0.884,3.42,0.0342801876202959,0.4760651830924086
ubiquity,0.578,0.49,0.595,2.66,-0.1486402963578391,0.6194301524209171
ugliness,0.094,0.407,0.267,2.98,0.4220029570634143,0.1973334977246064
ugly,0.167,0.63,0.254,4.42,0.5797237991628518,0.1216202864955022
uhoh,0.32,0.622,0.284,1.53,0.6503095952611723,0.0968105586977645
ukulele,0.513,0.358,0.365,3.01,-0.2542393611286049,0.6888016218046983
ulcer,0.286,0.596,0.377,3.03,-0.0188108713724513,0.513159448489205
ulterior,0.375,0.509,0.49,2.89,-0.1797627884704762,0.635491725467705
ultimate,0.648,0.645,0.544,4.53,-0.8827919740107112,0.9625180270292142
ultimately,0.385,0.48,0.558,4.57,-0.3456940945137912,0.7591834707120874
ultimatum,0.219,0.855,0.837,3.25,-0.7220093634202683,0.9265556224765756
ultimo,0.375,0.363,0.3,2.57,-0.5612080006404444,0.8705061340427077
ultrasound,0.573,0.594,0.6,3.51,1.2937588820560058,0.0044627991439419
ultraviolet,0.604,0.448,0.673,3.33,0.3067518789904395,0.2659406578870384
umbilical,0.398,0.406,0.333,3.02,0.3851104809733568,0.2234332186957107
umbra,0.408,0.4,0.337,2.39,0.9480540131976306,0.0303108857007342
umbrella,0.583,0.246,0.255,3.89,0.5455519556055248,0.1364514201060948
umpire,0.52,0.592,0.755,3.37,-1.3593160601137255,0.9964812883586164
umpteen,0.51,0.46,0.611,2.14,0.3946998679502143,0.2138584636342521
unabashed,0.292,0.614,0.488,2.6,-0.072757236538699,0.5566224813527354
unabated,0.532,0.42,0.466,2.71,0.5822943915357438,0.1240055558693818
unable,0.132,0.459,0.193,4.61,-0.0979693452745274,0.5765849786023753
unacceptable,0.133,0.479,0.33,3.87,-0.0601815509650283,0.5505452003483617
unaccompanied,0.292,0.376,0.297,2.98,0.4152032826372427,0.2017337853765548
unaccountable,0.18,0.6,0.543,2.66,-0.244842214558491,0.6862226094652507
unaccounted,0.41,0.338,0.361,2.85,-0.2610752769677942,0.6944098565364146
unacknowledged,0.24,0.269,0.116,2.35,0.0281935300301439,0.4794656705781241
unadulterated,0.57,0.42,0.528,2.67,-0.0816231678391544,0.5682069311919387
unaffected,0.542,0.265,0.571,3.34,0.9353507526299988,0.0312572206111815
unafraid,0.5,0.52,0.655,2.71,0.0687383307576111,0.4371041645696053
unaided,0.29,0.41,0.336,2.63,0.2052658490443823,0.3492823554890585
unaltered,0.571,0.269,0.598,2.79,0.4666097621814528,0.1742813185220777
unambiguous,0.406,0.39,0.578,2.89,0.0715003247373828,0.4479326667622695
unanimity,0.49,0.407,0.706,2.54,-0.5463626042545258,0.8599071837157035
unanimous,0.656,0.38,0.682,3.68,-1.149296823584589,0.989050506147154
unanimously,0.686,0.333,0.738,3.62,-0.6794986985186171,0.9096350983338042
unannounced,0.24,0.588,0.291,3.05,0.3977903353140741,0.2141838965786654
unanswered,0.276,0.361,0.219,3.31,-0.3907280693886252,0.7850318973293158
unanticipated,0.255,0.775,0.327,2.72,0.4488334674531913,0.1847732979987102
unappreciated,0.143,0.431,0.209,2.58,0.8788538433568233,0.0389531911655933
unapproved,0.184,0.471,0.254,2.48,0.0048741142539196,0.4926379993728779
unarmed,0.427,0.42,0.241,3.72,-1.0688209101975834,0.9836006297701652
unassisted,0.302,0.32,0.211,2.57,0.4877708986642981,0.1648586066607523
unassuming,0.49,0.23,0.471,2.82,-0.5144842697188612,0.845421890891281
unattached,0.192,0.439,0.283,2.68,0.5168784573867115,0.1483136674032742
unattainable,0.22,0.635,0.571,2.88,1.0544805031399884,0.0170871919846297
unattended,0.255,0.4,0.167,3.18,0.8643026002693273,0.0431397501464742
unattractive,0.177,0.307,0.208,3.36,1.143527781772018,0.0102387300010211
unauthorized,0.26,0.448,0.259,3.57,-0.3776415926467541,0.7783625596895665
unavailable,0.323,0.281,0.159,3.63,0.1529767749617537,0.3838549200268897
unavoidable,0.35,0.58,0.445,3.35,-0.000978713687705,0.500388916140956
unaware,0.208,0.355,0.31,3.87,0.1646600137569253,0.3741245314776595
unbalanced,0.302,0.596,0.343,3.21,0.0392711289564306,0.463803203082284
unbearable,0.125,0.798,0.447,3.47,0.6853381547912051,0.0852999194066712
unbeatable,0.735,0.719,0.681,3.18,-0.606182711763859,0.8849110122740796
unbeaten,0.854,0.76,0.828,3.36,-1.2681917942464835,0.994175515525782
unbecoming,0.123,0.471,0.288,2.63,-0.0965628873936512,0.5722852782876299
unbelief,0.265,0.582,0.407,2.53,-0.9164175472891224,0.9662116175028392
unbelievable,0.771,0.79,0.717,4.08,0.0282254930633401,0.4791456417928984
unbiased,0.625,0.378,0.618,3.33,0.124941297754104,0.4123698135828825
unborn,0.312,0.3,0.216,3.37,1.1279605818075156,0.0130013971476556
unbound,0.354,0.402,0.283,2.85,0.5804358621260096,0.1244585381209
unbounded,0.646,0.6,0.736,2.54,-0.1321433248690899,0.60431720757293
unbreakable,0.653,0.573,0.759,3.13,-0.3645386924146125,0.7654608374210397
unbridled,0.396,0.759,0.448,2.86,0.2199684402968094,0.3304510580173146
unbroken,0.55,0.224,0.602,3.22,-0.2161610675360363,0.6687599710120982
unbutton,0.479,0.539,0.311,2.15,0.7082958316762896,0.0768449209489346
uncalled,0.344,0.294,0.222,2.85,-0.6601258552907784,0.9106247854255374
uncanny,0.469,0.461,0.43,3.33,-0.1378851764614012,0.6142719201375272
uncaring,0.177,0.245,0.321,2.58,0.6480812198372096,0.0978005218891896
uncertain,0.363,0.5,0.164,3.99,-0.4912709611664413,0.8352203891280549
uncertainty,0.064,0.494,0.282,4.03,-0.1568044731332344,0.6241297263665766
unchallenged,0.552,0.394,0.545,2.87,-0.6585525921619473,0.9050027096939232
unchangeable,0.375,0.442,0.709,2.41,-0.7033153034611417,0.9231973163850402
unchanged,0.49,0.204,0.237,3.74,-0.3112419544245442,0.7303946903572629
uncharted,0.188,0.406,0.413,3.17,-0.1922883242291608,0.6523921525773029
uncivilized,0.133,0.6,0.4,2.61,-1.0319163012175407,0.9809187384874896
unclaimed,0.316,0.346,0.278,2.94,0.1781054076028254,0.3678963636673344
uncle,0.653,0.255,0.578,4.45,-0.6617615041826092,0.9086732742028782
unclean,0.133,0.529,0.134,3.06,-0.62758051444552,0.8942880826248134
unclear,0.229,0.463,0.202,3.93,-0.2806001346668634,0.7104029319210712
uncomfortable,0.188,0.61,0.214,4.19,0.4913062239435904,0.1663521623898782
uncommon,0.459,0.429,0.373,3.87,0.5922643978109949,0.122503418034054
uncommonly,0.626,0.49,0.778,2.58,0.0604279352385804,0.4475870661386916
uncomplicated,0.74,0.26,0.453,2.83,0.8033077114145665,0.0542479708571262
uncompromising,0.32,0.531,0.613,3.08,-0.6227613001241443,0.8921316958160841
unconcerned,0.562,0.283,0.298,2.74,-0.330740631236157,0.7457795417401101
unconditional,0.76,0.493,0.715,3.49,-0.3430449561054912,0.7564446830269342
unconfirmed,0.334,0.321,0.339,3.03,0.0514105984976981,0.4613335548486434
unconnected,0.188,0.265,0.213,2.83,0.3795342499863439,0.2176826655580717
unconscionable,0.208,0.618,0.429,2.76,-0.2140036502892482,0.6666757847276722
unconscious,0.24,0.356,0.195,3.94,-0.2040522821892486,0.6635068911485963
unconsciousness,0.177,0.44,0.121,2.69,-0.1720893352138074,0.6279393144944387
unconstitutional,0.23,0.588,0.491,3.65,-0.6235550272011098,0.8915965727323316
unconstrained,0.653,0.64,0.635,2.38,0.252972950032753,0.3055539246677969
uncontested,0.51,0.471,0.689,2.84,-0.3712967822322703,0.7714081988353034
uncontrollable,0.265,0.79,0.626,3.16,0.8350779156465719,0.0481415823313829
uncontrolled,0.188,0.891,0.544,3.2,0.6785181267878069,0.0902426635586072
unconventional,0.177,0.509,0.288,3.42,0.6312353098434706,0.1026884660139018
unconvinced,0.409,0.458,0.228,2.62,-0.0572973430254822,0.5486118700359686
unconvincing,0.19,0.532,0.144,2.69,0.0085809578657422,0.495728188737677
uncooked,0.312,0.321,0.241,2.69,0.4278276387378955,0.2009121847164234
uncooperative,0.25,0.422,0.246,2.65,0.4636435290941915,0.1773157753342877
uncorrelated,0.333,0.327,0.316,2.1,0.5630093487585375,0.1325027781847505
uncouth,0.08,0.761,0.35,2.52,-0.8862071670112437,0.962690155148202
uncover,0.771,0.552,0.648,3.48,0.5622449634727915,0.1314896524917819
uncritical,0.48,0.367,0.412,2.4,-0.2002043367841071,0.6589257768296675
uncut,0.448,0.422,0.278,3.25,-0.6630133053310454,0.9037890385894856
undead,0.367,0.635,0.406,3.27,-0.0730716911496549,0.5621353608442692
undecided,0.286,0.433,0.127,3.2,-0.134751812975733,0.6141141761395468
undefeated,0.833,0.752,0.825,3.62,-1.2228509771606346,0.9925549878296284
undefined,0.26,0.418,0.35,3.04,0.3687359707549129,0.2274102723087985
undeniable,0.552,0.473,0.778,3.34,-0.0109807190062086,0.5063215499078755
underage,0.469,0.461,0.3,3.47,0.5515274090271125,0.1323117151735839
underbelly,0.406,0.423,0.361,2.74,0.0603191998135586,0.4563651545439082
undercover,0.388,0.627,0.483,3.77,-0.0028818370956363,0.5003410937559083
undercurrent,0.357,0.582,0.52,2.67,0.4494896486657275,0.1848319769038028
underdog,0.25,0.41,0.226,3.33,-1.184298011516946,0.9907666054947156
underestimate,0.413,0.464,0.193,3.69,-0.4782192781726346,0.8307421926463507
undergo,0.398,0.554,0.339,3.81,0.1610619155849729,0.3729457953792088
undergraduate,0.583,0.5,0.559,3.85,0.3232614706656813,0.267464384072046
underground,0.396,0.455,0.452,4.32,-0.7221492541935889,0.922087568771477
underhanded,0.188,0.415,0.527,2.48,0.1615256607799343,0.3735264098404104
underlay,0.521,0.365,0.458,2.28,0.4138080141863676,0.208190182973421
underlie,0.323,0.378,0.275,2.68,0.0036864668409628,0.49776559216488
underline,0.48,0.412,0.509,2.98,0.1100190054371009,0.4064150999523959
underlying,0.48,0.445,0.452,4.17,-0.0751084864689029,0.5616856172554024
undermine,0.316,0.491,0.413,3.65,-0.3560018224625488,0.7597855519500163
undermined,0.365,0.409,0.394,3.32,-0.4596026423361775,0.819797984995875
underneath,0.45,0.265,0.158,4.08,0.2802990459878826,0.2868243529005536
underpaid,0.146,0.413,0.209,2.85,-0.0632626547175649,0.5518644789595755
underpants,0.448,0.473,0.276,2.92,0.0936814704613772,0.4241684421033814
underprivileged,0.167,0.449,0.172,2.92,0.5463913520272285,0.1394141549079035
underrated,0.208,0.52,0.333,3.61,-1.1528053931555158,0.9893797466408296
underscore,0.375,0.275,0.306,2.97,0.3480223189417363,0.2407300984130801
undersea,0.545,0.49,0.425,2.86,0.3545286149411268,0.2404740945880483
undersecretary,0.459,0.377,0.594,2.82,-0.3293914283854302,0.7457841092707799
undersized,0.316,0.425,0.298,2.59,-1.5649662239204023,0.9991305647863992
understaffed,0.148,0.444,0.302,2.59,0.6383982933833193,0.1005827252758154
understand,0.76,0.374,0.643,5.37,-0.3261007250478564,0.7411395821622982
understandable,0.776,0.363,0.566,3.74,0.1314527716381601,0.3999179629765163
understanding,0.865,0.304,0.689,4.82,-0.4105648123315091,0.7876129158054708
understatement,0.347,0.48,0.473,3.36,-0.0711189175866423,0.5568148733555867
understood,0.78,0.441,0.686,4.58,-0.453512152497989,0.8123064184220593
understudy,0.378,0.402,0.42,2.75,-0.1383899417095614,0.6091239160331483
undertake,0.796,0.702,0.754,3.73,-0.1820757859343729,0.641392290048464
undertaker,0.363,0.696,0.611,3.18,-1.1190844815867935,0.9874845941301704
undertaking,0.667,0.53,0.696,3.72,-0.2183230986707932,0.6704993636797425
undertow,0.327,0.639,0.231,2.43,0.8592638482370003,0.042181859918829
underwear,0.61,0.546,0.375,3.96,0.4884545897974731,0.1683053936328884
underwood,0.51,0.453,0.51,3.46,1.027551275313102,0.0186656910553156
underworld,0.177,0.676,0.613,3.46,-1.0082120535284844,0.9778260503483112
underwrite,0.416,0.52,0.423,2.55,-0.3210082392286324,0.746672653476121
underwriter,0.571,0.327,0.62,2.64,-0.010242063946852,0.5127423491324603
undeserved,0.219,0.552,0.283,2.69,-0.7549314525444447,0.9344971838293564
undesirable,0.177,0.644,0.26,3.36,0.0938746565334661,0.4271821181863012
undesired,0.156,0.441,0.235,2.55,0.4701583542574059,0.1730228967717029
undetectable,0.438,0.539,0.604,2.83,0.1925152372604751,0.3538973993217993
undetected,0.224,0.304,0.268,3.03,0.4248963802198325,0.1933220355090273
undetermined,0.265,0.256,0.353,2.89,-0.0139622795215454,0.508150407213436
undeveloped,0.292,0.33,0.254,3.11,0.3716270712913322,0.2325338785658631
undignified,0.122,0.627,0.308,2.49,0.6848289102697456,0.082678481673774
undirected,0.33,0.417,0.31,2.12,-0.5587028990244292,0.8710035953484705
undisclosed,0.479,0.361,0.314,3.37,-0.6850799455433404,0.915657370842334
undiscovered,0.438,0.347,0.261,3.0,0.3768148163459635,0.2263707803841983
undisputed,0.646,0.588,0.673,3.26,-1.2682876177745033,0.9943231858562688
undisturbed,0.725,0.287,0.434,2.99,-0.0738947393334049,0.562629030827482
undivided,0.51,0.38,0.49,3.05,0.1238175481292353,0.3960160089349089
undo,0.365,0.444,0.349,3.57,-0.1968450657357753,0.655678500067689
undoing,0.219,0.452,0.298,3.08,-0.0514121976360152,0.5467455669794656
undoubted,0.592,0.461,0.74,2.61,-0.9254188035128594,0.9684835537759768
undress,0.438,0.9,0.336,2.87,1.2015864788670114,0.0082891371511785
undressed,0.375,0.755,0.356,2.96,1.230650354835954,0.0071434747728135
undue,0.156,0.573,0.318,3.29,-0.1062675469871897,0.583698793994949
undying,0.708,0.5,0.773,2.91,-0.0045317783433982,0.5013165145662983
unearned,0.177,0.34,0.213,2.71,-0.8060176435159999,0.943792974085804
unearth,0.427,0.635,0.545,2.69,0.2322439642195979,0.3200521671878169
uneasiness,0.19,0.798,0.241,2.51,0.0822926555519942,0.4370421611328255
uneasy,0.115,0.598,0.349,3.45,0.0754090103456828,0.4408426641195649
uneducated,0.177,0.35,0.246,3.24,-0.671024349874615,0.9137290237826916
unemployed,0.094,0.481,0.23,3.9,-0.3857945815768557,0.7788754505658588
unemployment,0.094,0.4,0.297,4.22,-0.1862414856071577,0.6475942194759007
unencumbered,0.604,0.28,0.472,2.6,0.6948304258172465,0.0844932164162967
unending,0.385,0.519,0.454,2.95,-0.1198380681871056,0.6003320131774669
unequal,0.118,0.433,0.202,3.3,0.3889610833181375,0.2201185324008576
unequalled,0.562,0.47,0.769,2.22,-0.0739915604761271,0.5597344142450054
unequivocal,0.604,0.415,0.615,2.91,-0.4369788448862307,0.8035760141168455
unequivocally,0.521,0.668,0.554,3.06,-0.2773234920388759,0.7136787681906722
unethical,0.104,0.433,0.269,3.31,-0.5854363603252581,0.8824880775868398
uneven,0.125,0.457,0.24,3.55,0.4063499748069281,0.2096268546604776
uneventful,0.51,0.343,0.41,2.91,0.4134613240098217,0.2112902408324388
unexpected,0.5,0.72,0.333,4.23,0.4351698085862951,0.1946140788148953
unexpectedly,0.354,0.759,0.462,3.71,0.3102322237329761,0.265478465953198
unexplainable,0.26,0.448,0.61,2.59,0.5701793397408729,0.1241423004114323
unexplained,0.271,0.531,0.349,3.28,0.8193516076204667,0.0529050016653702
unexplored,0.401,0.64,0.388,2.88,1.0567488661111206,0.0167429215997404
unfailing,0.625,0.635,0.594,2.51,-0.4836687771230268,0.8335101440299063
unfair,0.173,0.472,0.19,4.17,-0.5215324162919589,0.8539162233713488
unfairness,0.17,0.817,0.336,2.81,0.0907717311915395,0.4222948919124568
unfaithful,0.031,0.806,0.298,3.07,0.7305913690216137,0.0731939465463384
unfamiliar,0.219,0.558,0.273,3.62,0.1809027686017741,0.3602945283794054
unfavorable,0.133,0.45,0.232,3.21,0.1056796713542224,0.4227162315668545
unfeeling,0.235,0.377,0.345,2.4,0.1813950521057417,0.3633596083548588
unfettered,0.569,0.65,0.586,2.89,0.2739035962996233,0.2871902140021219
unfinished,0.188,0.368,0.264,3.72,-0.4615224038012429,0.8212660560199357
unfit,0.25,0.368,0.185,3.52,-0.8639644418371399,0.9573356385684813
unflinching,0.667,0.606,0.882,2.59,-0.0926702845835121,0.5736273390103768
unfold,0.612,0.51,0.52,3.45,0.1915529069187868,0.344309076205666
unfollow,0.281,0.337,0.293,2.47,0.0995494663259051,0.4262869013630623
unforeseen,0.255,0.714,0.5,3.17,0.2126663415476885,0.33602406639632
unforgettable,0.833,0.561,0.66,3.49,0.9195098830567188,0.0336155668334696
unforgivable,0.276,0.743,0.49,3.01,-0.3843525873421755,0.7757938225096863
unforgiving,0.406,0.63,0.793,2.95,0.2054851556881362,0.3413950531725206
unfortunate,0.073,0.487,0.195,4.12,-0.6414984561574065,0.9025158177344742
unfortunately,0.104,0.494,0.281,4.62,0.0484478270174195,0.4581912671296365
unfounded,0.271,0.52,0.41,3.23,-0.3571920584472001,0.7655275613909842
unfreeze,0.458,0.297,0.375,2.19,-0.3222528127475359,0.7428069751297871
unfriendly,0.173,0.67,0.458,3.1,0.0982925561462753,0.4169087708502044
unfulfilled,0.184,0.426,0.268,2.93,0.6489659006756934,0.0962545460642132
unfurnished,0.316,0.333,0.272,2.14,1.0157708249309687,0.0215053114898383
unglued,0.378,0.446,0.352,2.17,0.2264511926178405,0.3323786771408821
ungodly,0.296,0.423,0.388,2.91,-0.9201775104542198,0.9670755512083288
ungrateful,0.219,0.461,0.275,3.33,-0.322301240138375,0.7361351216481942
unguarded,0.156,0.578,0.205,2.75,0.0844255598446814,0.436872492257623
unhand,0.406,0.36,0.361,1.34,0.4939927062544759,0.1600533563237451
unhappiness,0.083,0.63,0.222,3.15,0.3959605333378566,0.2094591961344669
unhappy,0.112,0.5,0.155,4.06,0.1765404540849704,0.3632635371383397
unharmed,0.74,0.378,0.491,3.12,-0.0897529513061774,0.5732054393585484
unhealthy,0.115,0.549,0.214,3.72,0.7221212960933588,0.0726162023086587
unheard,0.344,0.539,0.5,3.37,0.0974319052645972,0.4181214989638186
unhelpful,0.104,0.32,0.118,2.99,0.4944503346891967,0.1578635092856839
unhindered,0.729,0.441,0.725,2.54,-0.2232170304547587,0.6662264108275211
unholy,0.327,0.56,0.445,3.07,-0.9145853865279812,0.96747125975107
unhook,0.375,0.592,0.31,2.2,1.020628844540844,0.0204851876221925
unicorn,0.776,0.51,0.48,3.54,0.5692133873012891,0.1320088435473378
unidentified,0.385,0.361,0.199,3.61,0.1055215062536603,0.4171825286632163
unification,0.688,0.345,0.788,3.36,-1.2923887997926222,0.9951576886372042
unified,0.729,0.439,0.764,3.87,-0.915614174533719,0.9675208057785276
uniform,0.57,0.245,0.655,4.33,0.0352437101308484,0.4733702197641568
uniformed,0.469,0.519,0.589,3.18,-0.185830655413022,0.6463801895380229
uniformity,0.745,0.353,0.538,3.03,-0.1082107338593415,0.5863940060816413
uniformly,0.625,0.333,0.704,3.19,0.1813905171212926,0.3598253306620018
unimaginable,0.573,0.634,0.589,3.15,0.079116591371958,0.435856166855943
unimpeachable,0.684,0.55,0.784,2.26,-0.8013250955671105,0.9465233837484
unimportant,0.281,0.24,0.175,3.23,0.0208125253914291,0.488423103692735
unimpressed,0.198,0.302,0.327,2.92,-0.1795758613791261,0.6351329060680005
unimproved,0.163,0.377,0.144,2.24,-0.362429263417911,0.7643330408586964
uninfected,0.688,0.304,0.389,2.32,0.3494216759710181,0.236496657436652
uninformed,0.156,0.37,0.182,2.99,-0.306626812485946,0.7324615492142068
uninhabited,0.301,0.23,0.221,3.01,0.6083052051909185,0.1107856359175178
uninitiated,0.271,0.288,0.288,2.7,-0.6605851321614953,0.9082069928672544
uninspired,0.163,0.243,0.26,2.7,-0.4340119248771495,0.8087708832743559
unintelligible,0.208,0.472,0.283,2.82,-0.2474747416832562,0.6848557633864607
unintended,0.438,0.385,0.349,3.28,0.4299734773230115,0.1868742517998745
unintentional,0.333,0.538,0.306,3.12,-0.2383895925962874,0.6842381831203289
unintentionally,0.46,0.49,0.286,3.21,0.2183920412651886,0.3249373887921098
uninterested,0.365,0.24,0.328,3.02,0.3862650155445876,0.2182329289565143
uninteresting,0.153,0.235,0.228,2.87,0.4217430931323367,0.1996440061003055
uninterrupted,0.5,0.434,0.527,3.25,0.0201318491539268,0.4901676136728923
uninvited,0.09,0.385,0.307,2.85,0.5487869067384026,0.1357850692828871
union,0.854,0.226,0.766,5.08,-0.4901901286185901,0.8325441712408013
unique,0.823,0.347,0.661,4.75,0.4044686973214361,0.2145704439214311
unisex,0.492,0.417,0.417,3.0,0.2245074939777511,0.3223735378021486
unison,0.51,0.439,0.583,3.27,0.3534817760104663,0.237578936015909
unit,0.562,0.235,0.578,4.95,-0.4299257204209756,0.8041475209474216
unitary,0.531,0.239,0.641,3.06,-0.2631693172331872,0.6973750979862788
unite,0.781,0.375,0.61,3.9,-0.7627212277268806,0.937781663191532
united,0.781,0.431,0.783,5.47,-1.0080832397202408,0.9776220966590622
unity,0.837,0.288,0.658,4.22,-0.974018379642684,0.9752118802272424
universal,0.802,0.417,0.833,4.49,-0.6261875767272154,0.8948291076832081
universality,0.796,0.41,0.84,2.73,-0.2553895620860039,0.6968701480514358
universe,0.694,0.454,0.839,4.59,-0.4914736756657337,0.8375549197592438
university,0.735,0.574,0.741,5.39,0.2610356670952041,0.2982005013130919
unjust,0.115,0.625,0.278,3.43,-0.9412759559086836,0.9707983098549005
unjustifiable,0.115,0.596,0.394,2.6,-0.3900337668398057,0.7842389289175379
unjustified,0.288,0.541,0.314,3.03,-0.4106696010066906,0.7953788221375184
unkind,0.135,0.409,0.31,2.99,0.143950780662225,0.3823639103489169
unknowable,0.347,0.54,0.396,2.66,-0.3039236521210151,0.7282328697830677
unknown,0.357,0.45,0.204,4.53,-0.0290113349696847,0.5271963944374582
unlawful,0.094,0.759,0.402,3.72,-0.9006478396268628,0.9634122719777262
unleash,0.479,0.775,0.559,3.41,-0.3137741731986826,0.7372044130982286
unlicensed,0.306,0.574,0.196,3.1,-0.9343344116562688,0.970164023616812
unlike,0.439,0.439,0.418,4.57,-0.2117701735009728,0.659618946961192
unlikely,0.271,0.293,0.245,4.31,-0.7171259255893889,0.9235330653414427
unlimited,0.75,0.623,0.679,4.1,-0.4873168946361129,0.8345028723684962
unlisted,0.365,0.265,0.218,2.74,1.162838330444602,0.0107930692948365
unload,0.656,0.639,0.573,3.24,-0.4843297061539375,0.8304360395901647
unloaded,0.469,0.38,0.331,3.18,-0.2536103197185947,0.6952112274665936
unlock,0.582,0.442,0.592,3.9,-0.3746064181246836,0.7694408684369068
unlucky,0.073,0.395,0.198,3.63,-0.9690885309799372,0.9719458488336006
unmanageable,0.177,0.666,0.482,2.68,0.6612756376451239,0.093059107576767
unmanned,0.235,0.441,0.324,3.28,0.237821099935934,0.3247565961837578
unmarked,0.416,0.294,0.433,3.24,-0.3946566484305499,0.7791217335616922
unmarried,0.438,0.48,0.545,3.47,0.8532131042747567,0.0436092190741657
unmask,0.323,0.69,0.52,2.48,-0.2004524023008345,0.6600789343649766
unmatched,0.776,0.536,0.771,3.13,-0.1536289728572918,0.6209210803647078
unmistakable,0.602,0.571,0.765,3.08,-0.2387425605222112,0.6848344142497694
unmitigated,0.649,0.427,0.422,2.64,-0.5567437608423865,0.8640465330100355
unmoved,0.184,0.355,0.36,2.68,-0.4900689611044074,0.8422808702952829
unnamed,0.316,0.189,0.284,3.57,-0.2480391712528526,0.6937392366612379
unnatural,0.153,0.587,0.434,3.48,0.3942475261374903,0.2113896458738368
unnecessary,0.219,0.358,0.19,4.18,-0.1180685676783783,0.5903199291111787
unneeded,0.177,0.375,0.245,2.64,0.4456783735654354,0.183151812027438
unnoticed,0.302,0.44,0.26,3.42,0.0446147398171184,0.4676541209398089
unnumbered,0.406,0.255,0.331,2.39,0.3149148832903661,0.2646095431951023
unobserved,0.398,0.255,0.257,2.3,0.1414882142786985,0.389283763935677
unobstructed,0.583,0.44,0.573,2.65,0.5707749282675024,0.1246367874641609
unobtrusive,0.447,0.327,0.402,2.65,0.0619788839694069,0.4561856482295011
unoccupied,0.258,0.245,0.412,2.93,0.2984102690911557,0.2773822266559314
unofficial,0.26,0.302,0.255,3.66,-0.6392022292881148,0.8974302152386152
unopened,0.542,0.34,0.265,2.94,0.2412403563577203,0.3141649443566686
unopposed,0.615,0.375,0.537,2.86,-0.2925973835358236,0.7221838891040844
unordered,0.224,0.482,0.19,2.07,0.5235873409620418,0.1428826478018994
unorganised,0.25,0.5,0.212,2.05,0.945621569016328,0.0301758805703739
unorganized,0.26,0.657,0.173,2.82,0.7466653944254555,0.065337332828346
unorthodox,0.34,0.48,0.441,3.16,-0.8458281496179161,0.95342484766197
unpack,0.531,0.528,0.445,3.04,0.4463921739075537,0.1885859370888674
unpaid,0.3,0.413,0.365,3.73,0.1727346411437377,0.3666878144610171
unparalleled,0.708,0.306,0.538,3.2,-0.3351561855755974,0.7561403699485927
unpleasant,0.122,0.612,0.185,3.8,0.2179927516469592,0.3310270905780985
unpleasantness,0.062,0.724,0.264,2.52,-0.1305521651185982,0.599577341080141
unplug,0.239,0.441,0.404,2.95,0.3758416336530384,0.2249175450480527
unplugged,0.367,0.375,0.318,3.11,0.0364585417194912,0.4611395088868045
unpopular,0.073,0.441,0.164,3.72,-0.7595812155801813,0.9347000453821293
unprecedented,0.5,0.491,0.658,3.82,-0.5097778741007613,0.8470519683801945
unpredictable,0.429,0.769,0.515,3.68,0.1937724326712399,0.3540821467755721
